t,x,u
0.03,0.75,1.02053
0.03,0.76,1.01836
0.03,0.77,1.01521
0.03,0.78,1.01109
0.03,0.79,1.00599
0.03,0.8,0.999917
0.03,0.81,0.992883
0.03,0.82,0.0671391
0.03,0.83,1.91403
0.03,0.84,0.946676
0.03,0.85,0.0172
0.03,0.86,0.0258
0.03,0.87,1.0261
0.03,0.88,1.02591
0.03,0.89,1.02473
0.03,0.9,1.02256
0.03,0.91,1.01941
0.03,0.92,1.01529
0.03,0.93,1.01019
0.03,0.94,1.00412
0.03,0.95,0.997083
0.03,0.96,0.989094
0.03,0.97,0.980157
0.03,0.98,0.970281
0.03,0.99,0.959476
0.03,1,0.947755
0.04,0,0.960789
0.04,0.01,0.970846
0.04,0.02,0.980999
0.04,0.03,0.99125
0.04,0.04,1.0016
0.04,0.05,1.00151
0.04,0.06,1.00043
0.04,0.07,0.998362
0.04,0.08,0.995315
0.04,0.09,0.991288
0.04,0.1,0.986287
0.04,0.11,1.89807
0.04,0.12,0.0423067
0.04,0.13,0.977898
0.04,0.14,1.86294
0.04,0.15,0.934476
0.04,0.16,0.0051
0.04,0.17,0.0068
0.04,0.18,1.0072
0.04,0.19,1.00711
0.04,0.2,1.00603
0.04,0.21,1.00396
0.04,0.22,1.00091
0.04,0.23,0.996888
0.04,0.24,0.991887
0.04,0.25,1.90367
0.04,0.26,0.0465067
0.04,0.27,0.984898
0.04,0.28,1.86714
0.04,0.29,0.938676
0.04,0.3,0.0093
0.04,0.31,0.0124
0.04,0.32,1.0128
0.04,0.33,1.01271
0.04,0.34,1.01163
0.04,0.35,1.00956
0.04,0.36,1.00651
0.04,0.37,1.00249
0.04,0.38,0.997487
0.04,0.39,1.90927
0.04,0.4,0.0507067
0.04,0.41,0.991898
0.04,0.42,1.87134
0.04,0.43,0.942876
0.04,0.44,0.0135
0.04,0.45,0.018
0.04,0.46,1.0184
0.04,0.47,1.01831
0.04,0.48,1.01723
0.04,0.49,1.01516
