t,x,u
0.03,0.12,0.963894
0.03,0.13,0.954957
0.03,0.14,0.945081
0.03,0.15,0.934276
0.03,0.16,0.922555
0.03,0.17,0.909927
0.03,0.18,0.896407
0.03,0.19,0.882007
0.03,0.2,0.866742
0.03,0.21,0.850628
0.03,0.22,0.833681
0.03,0.23,0.815917
0.03,0.24,0.797355
0.03,0.25,0.778013
0.03,0.26,0.757911
0.03,0.27,0.737069
0.03,0.28,0.715507
0.03,0.29,0.693247
0.03,0.3,0.670312
0.03,0.31,0.646724
0.03,0.32,0.622507
0.03,0.33,0.597685
0.03,0.34,0.572283
0.03,0.35,0.546327
0.03,0.36,0.519841
0.03,0.37,0.492854
0.03,0.38,0.46539
0.03,0.39,0.437479
0.03,0.4,0.409148
0.03,0.41,0.380425
0.03,0.42,0.351338
0.03,0.43,0.321917
0.03,0.44,0.292191
0.03,0.45,0.26219
0.03,0.46,0.231943
0.03,0.47,0.201481
0.03,0.48,0.170834
0.03,0.49,0.140033
0.03,0.5,0.109108
0.03,0.51,0.0780905
0.03,0.52,0.0470108
0.03,0.53,0.0159
0.03,0.54,-0.0152108
0.03,0.55,-0.0462905
0.03,0.56,-0.0773083
0.03,0.57,-0.108233
0.03,0.58,-0.139034
0.03,0.59,-0.169681
0.03,0.6,-0.200143
0.03,0.61,-0.23039
0.03,0.62,-0.260391
0.03,0.63,-0.290117
0.03,0.64,-0.319538
0.03,0.65,-0.348625
0.03,0.66,-0.377348
0.03,0.67,-0.405679
0.03,0.68,-0.43359
0.03,0.69,-0.461054
0.03,0.7,-0.488041
0.03,0.71,-0.514527
0.03,0.72,-0.540483
0.03,0.73,-0.565885
0.03,0.74,-0.590707
0.03,0.75,-0.614924
0.03,0.76,-0.638512
0.03,0.77,-0.661447
0.03,0.78,-0.683707
0.03,0.79,-0.705269
0.03,0.8,-0.726111
0.03,0.81,-0.746213
0.03,0.82,-0.765555
0.03,0.83,-0.784117
0.03,0.84,-0.801881
0.03,0.85,-0.818828
0.03,0.86,-0.834942
0.03,0.87,-0.850207
0.03,0.88,-0.864607
0.03,0.89,-0.878127
0.03,0.9,-0.890755
0.03,0.91,-0.902476
0.03,0.92,-0.913281
0.03,0.93,-0.923157
0.03,0.94,-0.932094
0.03,0.95,-0.940083
0.03,0.96,-0.947117
